"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"x",10999,1709568509.33972,1709568509.33996,1709568509.4638,1709568509.46627,1709568509.46641,1709568509.47554,1709568509.47646,1709568509.47678,1709568509.50328,1709568509.72843
"x1",35049,1709568511.11516,1709568511.11526,1709568511.24028,1709568511.2614,1709568511.26156,1709568511.72375,1709568511.72468,1709568511.72504,1709568511.78987,1709568512.01266
"x2",14249,1709568510.06226,1709568510.06238,1709568511.07958,1709568511.11665,1709568511.11679,1709568511.22585,1709568511.22667,1709568511.22712,1709568511.32975,1709568511.67803
"x3",10449,1709568510.34751,1709568510.34759,1709568511.02353,1709568511.04968,1709568511.04983,1709568511.10232,1709568511.10283,1709568511.10315,1709568511.20422,1709568511.5453
"x4",10599,1709568512.17436,1709568512.17441,1709568513.1355,1709568513.15445,1709568513.15462,1709568513.21035,1709568513.21089,1709568513.21109,1709568513.30451,1709568513.62238
"x5",13199,1709568510.18804,1709568510.18824,1709568510.30326,1709568510.30537,1709568510.3055,1709568510.3102,1709568510.31074,1709568510.31098,1709568510.33513,1709568510.55783
"x6",12099,1709568511.04076,1709568511.04101,1709568511.14755,1709568511.1489,1709568511.149,1709568511.15252,1709568511.15308,1709568511.15339,1709568511.17724,1709568511.40651
"x7",20349,1709568511.38337,1709568511.38378,1709568511.76086,1709568511.76457,1709568511.76469,1709568511.78046,1709568511.78148,1709568511.78182,1709568511.83334,1709568512.0609
"x8",10999,1709568510.90738,1709568510.90763,1709568511.22653,1709568511.23102,1709568511.23116,1709568511.23585,1709568511.23639,1709568511.23675,1709568511.29401,1709568511.51843
"x9",12099,1709568510.95518,1709568510.95543,1709568511.04299,1709568511.04456,1709568511.04471,1709568511.04684,1709568511.04743,1709568511.0477,1709568511.0667,1709568511.27837
"x10",16499,1709568504.28752,1709568504.28789,1709568504.45489,1709568504.45736,1709568504.4575,1709568504.46244,1709568504.46316,1709568504.46347,1709568504.49118,1709568504.69408
"x11",13199,1709568501.72329,1709568501.72382,1709568502.18304,1709568502.1885,1709568502.22657,1709568502.23424,1709568502.23495,1709568502.23546,1709568502.26006,1709568502.67596
"x12",23349,1709568504.87713,1709568504.87727,1709568504.94781,1709568504.95836,1709568504.95848,1709568505.169,1709568505.16981,1709568505.17008,1709568505.20597,1709568505.42811
"x13",17149,1709568503.36456,1709568503.36478,1709568503.59847,1709568503.60567,1709568503.60581,1709568503.6201,1709568503.62712,1709568503.62754,1709568503.66449,1709568503.89822
"x14",13199,1709568504.82306,1709568504.82333,1709568504.91041,1709568504.91239,1709568504.91252,1709568504.9287,1709568504.92968,1709568504.93003,1709568504.95068,1709568505.15791
"x15",10549,1709568505.00046,1709568505.00061,1709568505.03215,1709568505.03302,1709568505.03312,1709568505.03415,1709568505.03467,1709568505.0348,1709568505.0447,1709568505.24447
"x16",10999,1709568504.91673,1709568504.91689,1709568504.98329,1709568504.9844,1709568504.98451,1709568504.98708,1709568504.98762,1709568504.98788,1709568505.00326,1709568505.25165
"x17",11849,1709568503.74618,1709568503.74644,1709568503.82138,1709568503.82309,1709568503.82324,1709568503.82726,1709568503.82798,1709568503.82836,1709568503.85175,1709568504.06763
"x18",12099,1709568505.24884,1709568505.24911,1709568505.33154,1709568505.33289,1709568505.33301,1709568505.3395,1709568505.34014,1709568505.34047,1709568505.358,1709568505.57844
"x19",12099,1709568505.74106,1709568505.74131,1709568505.86459,1709568505.86686,1709568505.86698,1709568505.87141,1709568505.8722,1709568505.87253,1709568505.89628,1709568506.11349
"x20",10999,1709568506.2765,1709568506.27673,1709568506.32578,1709568506.32703,1709568506.32715,1709568506.33358,1709568506.33431,1709568506.33462,1709568506.35845,1709568506.56849
"x21",10649,1709568507.79252,1709568507.79275,1709568507.83909,1709568507.84036,1709568507.84049,1709568507.84196,1709568507.84241,1709568507.84263,1709568507.85856,1709568508.07147
"x22",14299,1709568506.64448,1709568506.64472,1709568506.87,1709568506.8736,1709568506.87374,1709568506.88767,1709568506.88851,1709568506.88883,1709568506.92678,1709568507.14597
"x23",12099,1709568503.06863,1709568503.06879,1709568503.52911,1709568503.53182,1709568503.53198,1709568503.53731,1709568503.53804,1709568503.53839,1709568503.56996,1709568503.83504
"x24",13199,1709568506.94818,1709568506.94847,1709568507.04942,1709568507.05133,1709568507.05147,1709568507.0562,1709568507.05668,1709568507.05687,1709568507.07701,1709568507.29355
"x25",10399,1709568507.32785,1709568507.32799,1709568507.38391,1709568507.38527,1709568507.38543,1709568507.38815,1709568507.38869,1709568507.38904,1709568507.40538,1709568507.61635
"x26",10999,1709568507.71675,1709568507.717,1709568507.79537,1709568507.79675,1709568507.79689,1709568507.80074,1709568507.80132,1709568507.80163,1709568507.8193,1709568508.03161
"x27",14299,1709568507.81565,1709568507.81594,1709568507.96718,1709568507.96986,1709568507.97,1709568507.97607,1709568507.97673,1709568507.97708,1709568508.00535,1709568508.23545
"x28",13199,1709568507.85062,1709568507.8509,1709568507.94882,1709568507.95051,1709568507.95064,1709568507.9526,1709568507.95308,1709568507.95338,1709568507.97375,1709568508.18509
"x29",10999,1709568507.90837,1709568507.90862,1709568507.97417,1709568507.97546,1709568507.9756,1709568507.98032,1709568507.98084,1709568507.98115,1709568507.99733,1709568508.20082
"x30",12099,1709568508.49987,1709568508.50003,1709568508.60473,1709568508.60664,1709568508.60678,1709568508.61071,1709568508.61134,1709568508.6117,1709568508.63345,1709568508.83645
"x31",16499,1709568508.92142,1709568508.92154,1709568508.98102,1709568508.98637,1709568508.98651,1709568509.10471,1709568509.10537,1709568509.1057,1709568509.13851,1709568509.41479
"x32",23099,1709568509.05116,1709568509.05126,1709568509.2413,1709568509.26419,1709568509.26436,1709568509.52489,1709568509.52593,1709568509.52632,1709568509.59366,1709568509.87541
"x33",10999,1709568509.16852,1709568509.16871,1709568509.22538,1709568509.22702,1709568509.22716,1709568509.23124,1709568509.2319,1709568509.23224,1709568509.24856,1709568509.46838
"x34",10999,1709568574.87262,1709568574.87284,1709568574.90357,1709568574.90412,1709568574.90424,1709568574.90544,1709568574.90586,1709568574.90601,1709568574.91441,1709568575.10637
"x35",10999,1709568575.07339,1709568575.07362,1709568575.13251,1709568575.13403,1709568575.13415,1709568575.13584,1709568575.13633,1709568575.13658,1709568575.15371,1709568575.37068
"x36",17599,1709568576.75277,1709568576.753,1709568576.9515,1709568576.9542,1709568576.95432,1709568576.96159,1709568576.96221,1709568576.96248,1709568577.01175,1709568577.23321
"x37",10999,1709568576.58817,1709568576.58841,1709568576.6482,1709568576.64949,1709568576.64963,1709568576.65239,1709568576.65304,1709568576.65335,1709568576.67269,1709568576.86809
"x38",12099,1709568576.69394,1709568576.69409,1709568576.76744,1709568576.76908,1709568576.76922,1709568576.79325,1709568576.79419,1709568576.79462,1709568576.81268,1709568577.02326
"x39",14299,1709568576.86808,1709568576.86836,1709568576.96909,1709568576.97101,1709568576.97115,1709568576.97598,1709568576.9768,1709568576.9771,1709568576.99895,1709568577.18056
"x40",10999,1709568577.32626,1709568577.32641,1709568577.38202,1709568577.38338,1709568577.38352,1709568577.38543,1709568577.38604,1709568577.3863,1709568577.40283,1709568577.62153
"x41",19749,1709568578.37928,1709568578.37967,1709568578.6936,1709568578.6971,1709568578.69722,1709568578.71197,1709568578.71312,1709568578.7135,1709568578.77054,1709568578.98897
