"","rep_no","time1","time2","time3","time4","time5","time6","assembly","i"
"1","49","1709568347.01067","1709568347.22098","1709568347.22379","1709568347.22433","1709568347.67583","1709568347.69353","CEN12345.fasta","10"
"2","6877","1709568347.01067","1709568352.86457","1709568352.88617","1709568352.92785","1709568353.32233","1709568355.09504","CEN12345.fasta","11"
"3","13","1709568348.66563","1709568348.71975","1709568348.72051","1709568348.72088","1709568349.12889","1709568349.12969","CEN12345.fasta","115"
"4","12","1709568348.72711","1709568348.76299","1709568348.76339","1709568348.76376","1709568349.13443","1709568349.13831","CEN12345.fasta","118"
"5","1282","1709568347.01056","1709568348.7735","1709568348.82862","1709568348.83445","1709568349.22888","1709568349.97845","CEN12345.fasta","12"
"6","285","1709568348.95239","1709568349.28607","1709568349.38408","1709568349.42838","1709568349.7783","1709568349.84454","CEN12345.fasta","129"
"7","1320","1709568347.01065","1709568348.64516","1709568348.6474","1709568348.65204","1709568349.08417","1709568349.8282","CEN12345.fasta","13"
"8","180","1709568349.00002","1709568349.25414","1709568349.37604","1709568349.42489","1709568349.75092","1709568349.79608","CEN12345.fasta","130"
"9","27","1709568348.99896","1709568349.06479","1709568349.06621","1709568349.06655","1709568349.43058","1709568349.43814","CEN12345.fasta","131"
"10","98","1709568349.00004","1709568349.18542","1709568349.30748","1709568349.35651","1709568349.69692","1709568349.7167","CEN12345.fasta","132"
"11","43","1709568349.01914","1709568349.10286","1709568349.10408","1709568349.10459","1709568349.45771","1709568349.46761","CEN12345.fasta","133"
"12","12","1709568349.04213","1709568349.10701","1709568349.10886","1709568349.10959","1709568349.52478","1709568349.529","CEN12345.fasta","134"
"13","492","1709568349.04929","1709568349.52453","1709568349.52825","1709568349.53405","1709568349.83908","1709568349.93847","CEN12345.fasta","135"
"14","199","1709568349.05035","1709568349.25918","1709568349.25977","1709568349.26074","1709568349.59583","1709568349.63265","CEN12345.fasta","136"
"15","17","1709568349.06488","1709568349.12206","1709568349.1227","1709568349.12319","1709568349.47286","1709568349.47647","CEN12345.fasta","137"
"16","102","1709568349.08085","1709568349.24376","1709568349.2459","1709568349.24655","1709568349.59933","1709568349.62444","CEN12345.fasta","138"
"17","2786","1709568347.01074","1709568349.04228","1709568349.05312","1709568349.07182","1709568349.4671","1709568350.17805","CEN12345.fasta","14"
"18","25","1709568347.0108","1709568347.17717","1709568347.17855","1709568347.17891","1709568347.50754","1709568347.51385","CEN12345.fasta","15"
"19","23","1709568349.32727","1709568349.38566","1709568349.3873","1709568349.38799","1709568349.69279","1709568349.69557","CEN12345.fasta","156"
"20","1952","1709568349.32798","1709568349.40667","1709568349.42827","1709568349.44249","1709568349.75811","1709568349.77818","CEN12345.fasta","157"
"21","1390","1709568349.33775","1709568349.39374","1709568349.41008","1709568349.42196","1709568349.73228","1709568349.74731","CEN12345.fasta","158"
"22","195","1709568349.34263","1709568349.38686","1709568349.38919","1709568349.39112","1709568349.6962","1709568349.701","CEN12345.fasta","159"
"23","38","1709568347.0109","1709568347.18724","1709568347.18865","1709568347.18908","1709568347.54381","1709568347.55447","CEN12345.fasta","16"
"24","298","1709568349.37597","1709568349.42819","1709568349.57188","1709568349.62553","1709568349.93218","1709568349.93865","CEN12345.fasta","160"
"25","119","1709568349.37694","1709568349.42131","1709568349.4248","1709568349.42624","1709568349.78036","1709568349.78388","CEN12345.fasta","161"
"26","385","1709568349.37975","1709568349.42452","1709568349.43082","1709568349.43436","1709568349.73963","1709568349.74643","CEN12345.fasta","162"
"27","388","1709568349.39946","1709568349.44962","1709568349.45604","1709568349.4596","1709568349.78266","1709568349.79146","CEN12345.fasta","163"
"28","648","1709568349.40725","1709568349.45775","1709568349.46438","1709568349.47086","1709568349.78834","1709568349.79871","CEN12345.fasta","164"
"29","241","1709568349.41399","1709568349.4621","1709568349.46537","1709568349.46793","1709568349.78698","1709568349.79203","CEN12345.fasta","165"
