"starts","ends","scores","seqID","numID"
1,264000,41.5585436709542,"Rradicans_chr2_extr1",1
265101,266200,93.9338235294118,"Rradicans_chr2_extr1",1
267301,269500,91.6862276970816,"Rradicans_chr2_extr1",1
270601,272800,98.7602152047722,"Rradicans_chr2_extr1",1
277201,342100,41.6844233301882,"Rradicans_chr2_extr1",1
345401,347600,98.8520851724046,"Rradicans_chr2_extr1",1
348701,360800,57.1218665373414,"Rradicans_chr2_extr1",1
372901,374000,98.1617647058823,"Rradicans_chr2_extr1",1
375101,378400,96.0201843695951,"Rradicans_chr2_extr1",1
383901,402600,62.7058147179937,"Rradicans_chr2_extr1",1
403701,404800,87.5,"Rradicans_chr2_extr1",1
405901,407000,97.6102941176471,"Rradicans_chr2_extr1",1
409201,410300,98.8970588235294,"Rradicans_chr2_extr1",1
413601,414700,98.8970588235294,"Rradicans_chr2_extr1",1
415801,418000,84.7959801246556,"Rradicans_chr2_extr1",1
426801,427900,96.875,"Rradicans_chr2_extr1",1
430101,431200,98.8970588235294,"Rradicans_chr2_extr1",1
433401,435600,92.7886673086697,"Rradicans_chr2_extr1",1
7701,9900,98.2089953989781,"Rradicans_chr2_extr2",2
11001,12100,79.4117647058823,"Rradicans_chr2_extr2",2
36301,40700,94.4208576815586,"Rradicans_chr2_extr2",2
44001,45100,98.7132352941177,"Rradicans_chr2_extr2",2
46201,48400,91.4106177941845,"Rradicans_chr2_extr2",2
50601,52800,97.10655578739,"Rradicans_chr2_extr2",2
53901,55000,97.9779411764706,"Rradicans_chr2_extr2",2
57201,60500,97.7960678815327,"Rradicans_chr2_extr2",2
61601,63800,97.5659056255517,"Rradicans_chr2_extr2",2
68201,70400,94.717936628949,"Rradicans_chr2_extr2",2
82501,83600,88.2352941176471,"Rradicans_chr2_extr2",2
84701,85800,94.1176470588235,"Rradicans_chr2_extr2",2
86901,88000,97.6102941176471,"Rradicans_chr2_extr2",2
100101,102300,94.993546531846,"Rradicans_chr2_extr2",2
103401,105600,88.8382587004788,"Rradicans_chr2_extr2",2
106701,108900,78.1813424551267,"Rradicans_chr2_extr2",2
126501,129800,96.4488459069593,"Rradicans_chr2_extr2",2
130901,132000,97.6102941176471,"Rradicans_chr2_extr2",2
135301,137500,89.5732184415376,"Rradicans_chr2_extr2",2
138601,139700,97.2426470588235,"Rradicans_chr2_extr2",2
140801,141900,94.8529411764706,"Rradicans_chr2_extr2",2
143001,144100,98.3455882352941,"Rradicans_chr2_extr2",2
145201,146300,96.1397058823529,"Rradicans_chr2_extr2",2
150701,151800,87.1323529411765,"Rradicans_chr2_extr2",2
160601,283800,58.2261159969308,"Rradicans_chr2_extr2",2
1,2200,96.9228158521253,"Rradicans_chr2_extr3",3
4401,6600,98.3008653666105,"Rradicans_chr2_extr3",3
16501,17600,50,"Rradicans_chr2_extr3",3
22001,27500,76.2312733331194,"Rradicans_chr2_extr3",3
30801,34100,95.2853360198278,"Rradicans_chr2_extr3",3
36301,40700,92.216479681211,"Rradicans_chr2_extr3",3
41801,42900,98.1617647058823,"Rradicans_chr2_extr3",3
