"starts","ends","scores","seqID","numID"
1,1200,98.6531986531987,"Rbrevi_chr1_extr1_edited",1
3601,7200,73.8085682236836,"Rbrevi_chr1_extr1_edited",1
10801,12000,97.6430976430976,"Rbrevi_chr1_extr1_edited",1
13201,15600,98.612076019329,"Rbrevi_chr1_extr1_edited",1
16801,18000,95.7912457912458,"Rbrevi_chr1_extr1_edited",1
30001,31200,98.8215488215488,"Rbrevi_chr1_extr1_edited",1
37201,40800,92.9337367375711,"Rbrevi_chr1_extr1_edited",1
44401,45600,96.6329966329966,"Rbrevi_chr1_extr1_edited",1
46801,90000,64.8152138884686,"Rbrevi_chr1_extr1_edited",1
92401,93600,98.8215488215488,"Rbrevi_chr1_extr1_edited",1
104401,105600,61.7845117845118,"Rbrevi_chr1_extr1_edited",1
114001,115200,97.6430976430976,"Rbrevi_chr1_extr1_edited",1
123601,124800,97.979797979798,"Rbrevi_chr1_extr1_edited",1
135601,136800,98.989898989899,"Rbrevi_chr1_extr1_edited",1
172801,174000,97.979797979798,"Rbrevi_chr1_extr1_edited",1
192001,223200,64.8671161615339,"Rbrevi_chr1_extr1_edited",1
224401,235200,65.8054653069151,"Rbrevi_chr1_extr1_edited",1
242401,244800,97.0134160838621,"Rbrevi_chr1_extr1_edited",1
252001,253200,95.7912457912458,"Rbrevi_chr1_extr1_edited",1
268801,279600,62.8763847411581,"Rbrevi_chr1_extr1_edited",1
280801,282000,98.4848484848485,"Rbrevi_chr1_extr1_edited",1
284401,292800,93.7761550096352,"Rbrevi_chr1_extr1_edited",1
301201,314400,56.9662965488407,"Rbrevi_chr1_extr1_edited",1
321601,322800,88.8888888888889,"Rbrevi_chr1_extr1_edited",1
327601,328800,93.2659932659933,"Rbrevi_chr1_extr1_edited",1
330001,337226,93.4492465935777,"Rbrevi_chr1_extr1_edited",1
